Publication Titles	Record Count	% of 94,965
JOURNAL OF PHYSICS CONFERENCE SERIES	38	0.040
LANDSLIDES	38	0.040
ASTROPHYSICAL JOURNAL	37	0.039
FLUIDS	37	0.039
GRAVITY GEOID AND EARTH OBSERVATION	37	0.039
JOURNAL OF GREAT LAKES RESEARCH	37	0.039
JOURNAL OF SEDIMENTARY RESEARCH	37	0.039
PRECAMBRIAN RESEARCH	37	0.039
WILEY INTERDISCIPLINARY REVIEWS CLIMATE CHANGE	37	0.039
APPLIED ENERGY	36	0.038
ENVIRONMENTAL MICROBIOLOGY	36	0.038
GEOPHYSICS	36	0.038
JOURNAL OF SURVEYING ENGINEERING	36	0.038
LITHOSPHERE	36	0.038
MARINE MAMMAL SCIENCE	36	0.038
RUSSIAN JOURNAL OF EARTH SCIENCES	36	0.038
WETLANDS	36	0.038
2011 IEEE INTERNATIONAL GEOSCIENCE AND REMOTE SENSING SYMPOSIUM IGARSS	35	0.037
AQUATIC MICROBIAL ECOLOGY	35	0.037
ASTROPHYSICS AND SPACE SCIENCE	35	0.037
BIOLOGICAL CONSERVATION	35	0.037
CURRENT CLIMATE CHANGE REPORTS	35	0.037
DYNAMIC PLANET MONITORING AND UNDERSTANDING A DYNAMIC PLANET WITH GEODETIC AND OCEANOGRAPHIC TOOLS	35	0.037
JOURNAL OF CLEANER PRODUCTION	35	0.037
JOURNAL OF FLOOD RISK MANAGEMENT	35	0.037
JOURNAL OF STRUCTURAL GEOLOGY	35	0.037
ENGINEERING GEOLOGY	34	0.036
INDIAN JOURNAL OF MARINE SCIENCES	34	0.036
INTERNATIONAL OFFSHORE AND POLAR ENGINEERING CONFERENCE PROCEEDINGS	34	0.036
JOURNAL OF WATER AND CLIMATE CHANGE	34	0.036
PROGRESS IN EARTH AND PLANETARY SCIENCE	34	0.036
SPRINGER EARTH SYSTEM SCIENCES	34	0.036
ACTA GEODAETICA ET GEOPHYSICA	33	0.035
ANNALS OF GLACIOLOGY VOL 39 2004	33	0.035
ATMOSPHERIC ENVIRONMENT	33	0.035
CLIMATE RESEARCH	33	0.035
COASTAL ENGINEERING JOURNAL	33	0.035
CONTRIBUTIONS TO MINERALOGY AND PETROLOGY	33	0.035
ECOGRAPHY	33	0.035
ENVIRONMENTAL POLLUTION	33	0.035
ESA SPECIAL PUBLICATIONS	33	0.035
FRONTIERS IN ENVIRONMENTAL SCIENCE	33	0.035
IAHS PUBLICATION	33	0.035
JOURNAL OF GEODETIC SCIENCE	33	0.035
JOURNAL OF NAVIGATION	33	0.035
KOREAN JOURNAL OF REMOTE SENSING	33	0.035
MOLECULAR PHYLOGENETICS AND EVOLUTION	33	0.035
MONTHLY NOTICES OF THE ROYAL ASTRONOMICAL SOCIETY	33	0.035
PHYSICAL REVIEW FLUIDS	33	0.035
APPLIED GEOGRAPHY	32	0.034
COASTAL RESEARCH LIBRARY	32	0.034
FRONTIERS OF EARTH SCIENCE	32	0.034
GEOSCIENCE LETTERS	32	0.034
JOURNAL OF GEOGRAPHICAL SCIENCES	32	0.034
MARINE ECOLOGY AN EVOLUTIONARY PERSPECTIVE	32	0.034
METEOROLOGICAL APPLICATIONS	32	0.034
ZOOTAXA	32	0.034
BULLETIN OF VOLCANOLOGY	31	0.033
CLIMATE	31	0.033
COMPUTERS AND ELECTRONICS IN AGRICULTURE	31	0.033
EARTH SURFACE DYNAMICS	31	0.033
IAG 150 YEARS	31	0.033
IEEE TRANSACTIONS ON ANTENNAS AND PROPAGATION	31	0.033
INTERPRETATION A JOURNAL OF SUBSURFACE CHARACTERIZATION	31	0.033
ISME JOURNAL	31	0.033
JOURNAL OF METEOROLOGICAL RESEARCH	31	0.033
MARINE BIODIVERSITY	31	0.033
EARTH SCIENCE INFORMATICS	30	0.032
