Affiliations	Record Count	% of 94,965
UNIVERSIDAD DE LAS PALMAS DE GRAN CANARIA	185	0.195
UNIVERSIDADE DOS ACORES	185	0.195
INSTITUTO SUPERIOR TECNICO	184	0.194
NEVADA SYSTEM OF HIGHER EDUCATION NSHE	184	0.194
UHI MILLENNIUM INSTITUTE	184	0.194
UNIVERSITY OF ABERDEEN	184	0.194
ROYAL HOLLOWAY UNIVERSITY LONDON	183	0.193
UNIVERSITY OF HELSINKI	182	0.192
UNIVERSITY OF MARYLAND BALTIMORE COUNTY	182	0.192
ATMOSPHERIC ENVIRONMENTAL RESEARCH	181	0.191
CZECH ACADEMY OF SCIENCES	180	0.190
NATIONAL UNIVERSITY OF SINGAPORE	180	0.190
TECHNISCHE UNIVERSITAT WIEN	180	0.190
UNIVERSIDADE DE AVEIRO	179	0.188
UNIVERSIDADE DO ALGARVE	178	0.187
INSTITUT POLYTECHNIQUE DE PARIS	177	0.186
AUTONOMOUS UNIVERSITY OF BARCELONA	176	0.185
CARNEGIE INSTITUTION FOR SCIENCE	176	0.185
RICE UNIVERSITY	176	0.185
DEPARTMENT OF SCIENCE TECHNOLOGY INDIA	175	0.184
LA ROCHELLE UNIVERSITE	175	0.184
MICHIGAN STATE UNIVERSITY	175	0.184
UNIVERSITE DE SAVOIE	175	0.184
UNIVERSITY OF NEWCASTLE	175	0.184
UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL	174	0.183
UNIVERSITY OF INNSBRUCK	174	0.183
ITALIAN NATIONAL AGENCY NEW TECHNICAL ENERGY SUSTAINABLE ECONOMICS DEVELOPMENT	173	0.182
NERC NATIONAL CENTRE FOR ATMOSPHERIC SCIENCE	173	0.182
ECOLE DES PONTS PARISTECH	172	0.181
HELLENIC CENTRE FOR MARINE RESEARCH	172	0.181
ISTANBUL TECHNICAL UNIVERSITY	172	0.181
NATIONAL INSTITUTE OF ADVANCED INDUSTRIAL SCIENCE TECHNOLOGY AIST	172	0.181
NATIONAL TAIWAN OCEAN UNIVERSITY	172	0.181
UNIVERSITY OF CANTERBURY	171	0.180
UNIVERSITY OF UTAH	171	0.180
INDIAN INSTITUTE OF TROPICAL METEOROLOGY IITM	170	0.179
UNIVERSITY OF TWENTE	170	0.179
UNIVERSITY OF NAPLES FEDERICO II	169	0.178
LANZHOU UNIVERSITY	168	0.177
UNIVERSITY OF ALABAMA SYSTEM	168	0.177
KARLSRUHE INSTITUTE OF TECHNOLOGY	166	0.175
POLYTECHNIC UNIVERSITY OF MILAN	166	0.175
ARISTOTLE UNIVERSITY OF THESSALONIKI	165	0.174
UNIVERSIDADE FEDERAL DO RIO GRANDE	165	0.174
CSIR NATIONAL GEOPHYSICAL RESEARCH INSTITUTE NGRI	164	0.173
GRIFFITH UNIVERSITY	164	0.173
NANTES UNIVERSITE	164	0.173
BUREAU DE RECHERCHES GEOLOGIQUES ET MINIERES BRGM	163	0.172
TECHNICAL UNIVERSITY OF BERLIN	163	0.172
UNIVERSITIES SPACE RESEARCH ASSOCIATION USRA	163	0.172
CNES	162	0.171
UNIVERSITY OF HONG KONG	162	0.171
UNIVERSITY OF IDAHO	162	0.171
XINJIANG INSTITUTE OF ECOLOGY GEOGRAPHY CAS	162	0.171
COLD ARID REGIONS ENVIRONMENTAL ENGINEERING RESEARCH INSTITUTE CAS	161	0.170
NORWEGIAN UNIVERSITY OF SCIENCE TECHNOLOGY NTNU	161	0.170
NATIONAL KAPODISTRIAN UNIVERSITY OF ATHENS	160	0.168
UNIVERSITY OF ERLANGEN NUREMBERG	160	0.168
UNIVERSITY OF WATERLOO	159	0.167
UNIVERSIDAD DE CADIZ	158	0.166
MARINE HYDROPHYSICAL INSTITUTE OF RAS	157	0.165
SCIENCE APPLICATIONS INTERNATIONAL CORPORATION SAIC	157	0.165
UNIVERSITY OF MUNICH	157	0.165
ISTITUTO DI SCIENZE DELL ATMOSFERA E DEL CLIMA ISAC CNR	156	0.164
UNIVERSITE DE RENNES 1	155	0.163
UNIVERSITY OF MARYLAND CENTER FOR ENVIRONMENTAL SCIENCE	154	0.162
UNIVERSITY OF MONTANA	154	0.162
UNIVERSITY OF MONTANA SYSTEM	154	0.162
JAPAN AEROSPACE EXPLORATION AGENCY JAXA	153	0.161
GEOLOGICAL SURVEY OF NORWAY	152	0.160
UNIVERSITY OF WOLLONGONG	152	0.160
LAVAL UNIVERSITY	151	0.159
NATIONAL RESEARCH FOUNDATION SOUTH AFRICA	150	0.158
UNIVERSITY OF MANCHESTER	150	0.158
CSIC INSTITUTO ANDALUZ DE CIENCIAS DE LA TIERRA IACT	149	0.157
DARTMOUTH COLLEGE	148	0.156
UNIVERSITY OF ICELAND	148	0.156
CIRAD	147	0.155
UNIVERSITY OF MISSOURI SYSTEM	147	0.155
UNIVERSITY OF OKLAHOMA NORMAN	147	0.155
UNIVERSITY OF OKLAHOMA SYSTEM	147	0.155
HUAZHONG UNIVERSITY OF SCIENCE TECHNOLOGY	146	0.154
UNIVERSITY OF OREGON	146	0.154
UNIVERSITY OF STUTTGART	146	0.154
CHINESE UNIVERSITY OF HONG KONG	145	0.153
UNIVERSITY OF SCIENCE TECHNOLOGY OF CHINA CAS	145	0.153
LANCASTER UNIVERSITY	144	0.152
UNIVERSITY OF FLORENCE	144	0.152
